Organisation,Website,Sector,Fund Currency,Fund Size (Min),Fund Size (Max),Country,Type,Crawl URLs,Description,Competition Available,
The Africa Enterprise Challenge Fund (AECF),https://www.aecfafrica.org/,"agriculture, energy",USD,100000,1500000,"Burundi, Cameroon, Congo, Ethiopia,Gambia, Ghana, IvoryCoast, Kenya, Tanzania, Liberia, Malawi, Mali, Mozambique, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Africa, South Sudan, Tanzania, Uganda, Zambia, Zimbabwe",,"https://www.aecfafrica.org/index.php/about-us/who-we-are
https://www.aecfafrica.org/portfolio/agribusiness
https://www.aecfafrica.org/agriculture/Seeds_for_Impact
https://www.aecfafrica.org/index.php/portfolio/renewable-energy
https://www.aecfafrica.org/index.php/portfolio/renewable_energy/react_ssa
https://www.aecfafrica.org/portfolio/renewable-energy/REACT-EEP
https://www.aecfafrica.org/index.php/portfolio/aecf_gender_lens_investment
https://www.aecfafrica.org/index.php/portfolio/competitions
","challenge fund aims reduce poverty supporting private sector businesses positive impact rural communities sub-saharan africa . specifically , supports businesses agriculture , agribusiness , rural financial services communications systems , renewable energy adaptations combat climate change . provides catalytic funding form repayable non-repayable grants businesses otherwise access adequate financing .",1,
Alliance for a green revolution in Africa (AGRA),https://agra.org/,agriculture,,,,"Burkina Faso, Ethiopia, ghana, Ghana, Kenya, Malawi, Mali, Mozambique, Nigeria, Rwanda, Tanzania, Uganda",,"https://agra.org/
https://agra.org/our-approach/
https://agra.org/grants/
https://agra.org/country-support-and-delivery/
https://agra.org/program-development-and-innovation/
https://agra.org/policy-and-strategic-partnerships/
https://agra.org/where-we-work/
https://agra.org/piata/
https://agra.org/wp-content/uploads/2017/12/agra-kenya-final.pdf
https://agra.org/wp-content/uploads/2018/01/agra-uganda-final.pdf
https://agra.org/wp-content/uploads/2017/12/agra-tanzania-final.pdf
https://agra.org/wp-content/uploads/2018/01/AGRA-Burkina-Faso-Operational-Plan-_03.11.2017-2.pdf
https://agra.org/wp-content/uploads/2018/01/AGRA-Burkina-Faso-Operational-Plan-_03.11.2017-2.pdf","agra aims invest projects can measurable impact can create meaningful , transformative change agriculture sector .",1,
Global Innovation Fund,https://globalinnovation.fund/,"Agriculture, Democracy, Human Rights, and Governance, Economic Growth and Trade, Education, Energy, Environment, Health, Housing and Infrastructure, Humanitarian Assistance, Water Sanitation and Hygiene (WASH)",USD,50000,15000000,,,"https://globalinnovation.fund/
https://globalinnovation.fund/who-we-are/about-us/
https://globalinnovation.fund/what-we-do/our-approach/
https://globalinnovation.fund/what-we-do/how-we-scale/
https://globalinnovation.fund/what-we-do/stages-of-funding/
https://globalinnovation.fund/what-we-do/types-of-financing/
https://globalinnovation.fund/what-we-do/the-water-innovation-engine/
https://globalinnovation.fund/gif-researchers/
https://globalinnovation.fund/investments/paga/
https://globalinnovation.fund/investments/onlinepajak/
https://globalinnovation.fund/investments/no-means-no-worldwide/
https://globalinnovation.fund/investments/idinsight/
https://globalinnovation.fund/investments/ideas42/
https://globalinnovation.fund/investments/talent-beyond-boundaries/",government-sponsored non-profit fund london investing social entrepreneurial ventures developing world,0,
Acumen Fund,https://acumen.org/,Economic Growth and Trade,USD,0,3000000,"AMERICA, EAST AFRICA, INDIA, LATIN AMERICA, PAKISTAN, WEST AFRICA, UK, USA, Colombia, Ghana, Sindh, India, KENYA",,"https://acumen.org/
https://acumen.org/about/
https://acumen.org/manifesto/
https://acumen.org/approach/
https://acumen.org/about/patient-capital/
https://acumen.org/companies/sectors/agriculture/
https://acumen.org/companies/sectors/education/
https://acumen.org/companies/sectors/energy/
https://acumen.org/companies/sectors/financial-inclusion/
https://acumen.org/companies/sectors/health/
https://acumen.org/companies/sectors/housing/
https://acumen.org/companies/sectors/water-sanitation/
https://acumen.org/companies/sectors/workforce-development/
https://acumen.org/regions/",,0,
Bamboo Loans,https://www.bambooloans.com/,,GBP,1000,8000,,,"https://www.bambooloans.com/s/guarantor-loans/',
'https://www.bambooloans.com/s/unsecured-loans/',
'https://www.bambooloans.com/s/debt-consolidation-loans/',
'https://www.bambooloans.com/s/find-a-guarantor/',



","bamboo finance commercial private equity firm specializing investing business models benefit low-income communities emerging markets offices luxembourg , geneva , bogota , nairobi singapore . bamboo finance uses market-oriented approach deliver social environmental value provide attractive financial returns investors .",0,
African Development Fund,https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/,"Agriculture, Democracy, Human Rights, and Governance, Economic Growth and Trade, Education, Energy, Environment, Health, Housing and Infrastructure, Humanitarian Assistance, Water Sanitation and Hygiene (WASH)",,,,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Congo, Democratic Republic of Congo, Cï¿½te dï¿½Ivoire Djibouti, Egypt, Eritrea, Equatorial Guinea, eSwatini, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sï¿½o Tomï¿½ & Prï¿½ncipe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe",,"https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/about-the-adf/',
'https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/adf-recipient-countries/',
'https://www.afdb.org/en/about-us/corporate-information/african-development-fund-adf/adf-country-resources-allocation/',
'https://www.afdb.org/en/projects-and-operations/financial-products/african-development-fund/debt-sustainability-and-adf-grant-eligibility/',
'https://www.afdb.org/en/projects-and-operations/financial-products/african-development-fund/debt-sustainability-and-adf-grant-eligibility/enhanced-engagement-in-fragile-states/',
'https://www.afdb.org/en/projects-and-operations/financial-products/african-development-fund/debt-sustainability-and-adf-grant-eligibility/non-concessional-debt-accumulation-policy/'","adf contributes promotion economic social development 40 least african countries providing concessional funding projects programs , well technical assistance studies capacity-building activities .",0,
Willow Impact,http://www.willowimpact.com/,"
Education, Health, Agriculture, Democracy, Human Rights, and Governance, Environment",,,,"Dubai, Nairobi",,"http://www.willowimpact.com/impact/',
'http://www.willowimpact.com/impact/impact/impact-assessment.html',
'http://www.willowimpact.com/for-entrepreneurs/',
'http://www.willowimpact.com/about-us/company/policy-and-objectives.html',
'http://www.willowimpact.com/about-us/company/our-business.html'
","impact investment firm manages advises social enterprises , social impact funds . based dubai , presence nairobi . supports early-stage growth companies strong business fundamentals designed generate social environmental impact . offer access capital , expertise , networks active participation development ventures .",0,
Grayghost ventures,http://www.grayghostventures.com,,USD,1000000,5000000,,,"http://www.grayghostventures.com/about/philosophy.html',
'http://www.grayghostventures.com/about/initiatives/impactventures.html',
'http://www.grayghostventures.com/about/history.html',
'http://www.grayghostventures.com/portfolio/portfolioBusinessPlanSubmission.html'","seeks eliminate poverty strengthen communities catalytic , early-stage investments developing world focusing enabling technology , financial services , products services concentrated enhancing quality life large , underserved populations emerging markets",0,
Business/Partners Investing in Entrepreneurs (BPI),https://www.businesspartners.co.za/bpi,finance,USD,0,50000000,,,"https://www.businesspartners.co.za/en-za/finance-solutions/our-products',
'https://www.businesspartners.co.za/en-za/finance-solutions/our-finance-solutions',
'https://www.businesspartners.co.za/en-za/apply/what-you-need-to-apply',

",,0,
LGT Venture Philanthropy Foundation,https://www.lgtvp.com/en/,"Agriculture, Education, Energy, Health",,,,"Africa, Asia and Pacific, Europe and Eurasia, Latin America, Caribbean, North America, Middle East and North Africa",,"https://www.lgtvp.com/en/about-us/',
'https://www.lgtvp.com/en/what-we-do/approach/',
'https://www.lgtvp.com/en/what-we-do/impact/',
'https://www.lgtvp.com/en/what-we-do/sectors/',
'https://www.lgtvp.com/en/portfolio/who-we-support/',
'https://www.lgtvp.com/en/portfolio/portfolio-overview/'","seek support non-profit organizations for-profit companies philanthropic capital intelligent capital ( guidance ) . sectors : education , healthcare , energy , agriculture , information communication technologies . missions : 1 ) increase quality life disadvantaged people 2 ) build resilient , inclusive prosperous communities 3 ) contribute healthy ecosystems values : 1 ) impact orientation 2 ) long-term perspective 3 ) entrepreneurial approach 4 ) competence 5 ) collaboration ( see website details )",1,
